0044030	41	CP065313.1_1033	214	4.6e-11	1	39	173	211	0.926829268293
0037767	80	CP065313.1_1036	258	8.7e-10	6	73	23	85	0.8375
0036286	54	CP065313.1_1047	206	8.6e-05	4	43	22	61	0.722222222222
0044258	100	CP065313.1_1070	128	2.4e-21	4	97	16	111	0.93
0037176	98	CP065313.1_1157	251	1.1e-13	32	98	167	233	0.673469387755
0042546	127	CP065313.1_120	133	8.9e-33	1	119	1	119	0.929133858268
0043707	64	CP065313.1_1215	129	6.7e-09	3	55	12	64	0.8125
0037176	98	CP065313.1_1269	391	5.9e-07	1	97	294	388	0.979591836735
0040266	151	CP065313.1_1302	306	2.7e-06	32	110	11	85	0.516556291391
0037767	80	CP065313.1_131	241	4.5e-08	25	72	23	70	0.5875
0037767	80	CP065313.1_1313	479	4.3e-09	18	73	25	80	0.6875
0039468	106	CP065313.1_1317	205	6.4e-07	2	48	9	55	0.433962264151
0040266	151	CP065313.1_133	319	1.8e-05	48	114	22	75	0.437086092715
0037767	80	CP065313.1_1346	240	1.8e-08	5	73	14	77	0.85
0042546	127	CP065313.1_1352	138	2.3e-13	1	67	7	72	0.51968503937
0039939	63	CP065313.1_136	128	5.2e-05	15	54	18	57	0.619047619048
0039468	106	CP065313.1_136	128	4.3e-06	6	86	38	117	0.754716981132
0035607	54	CP065313.1_1384	267	3.8e-05	10	53	172	215	0.796296296296
0035607	54	CP065313.1_1384	267	5.7e-07	16	51	226	262	0.648148148148
0043707	64	CP065313.1_1460	185	1.5e-15	3	61	8	67	0.90625
0036286	54	CP065313.1_148	300	4.8e-08	6	53	197	244	0.87037037037
0035607	54	CP065313.1_148	300	5.1e-09	3	53	246	294	0.925925925926
0040517	144	CP065313.1_150	294	7.5e-05	44	118	17	89	0.513888888889
0043707	64	CP065313.1_1500	104	5.8e-11	7	56	32	82	0.765625
0043935	94	CP065313.1_1522	91	6.4e-05	21	83	31	86	0.659574468085
0037767	80	CP065313.1_1537	249	3e-09	19	71	17	69	0.65
0035607	54	CP065313.1_1637	311	1.1e-09	2	51	240	290	0.907407407407
0040517	144	CP065313.1_1696	299	1.1e-05	34	111	13	86	0.534722222222
0038753	71	CP065313.1_1703	253	2.1e-06	3	69	147	215	0.929577464789
0042546	127	CP065313.1_1713	261	1.1e-16	1	108	2	104	0.842519685039
0042628	48	CP065313.1_1722	136	7.2e-11	1	45	1	45	0.916666666667
0045032	127	CP065313.1_1777	158	3.2e-28	1	126	5	131	0.984251968504
0043707	64	CP065313.1_1785	99	2.7e-06	9	56	41	92	0.734375
0040517	144	CP065313.1_1799	297	8.5e-05	48	110	20	78	0.430555555556
0037767	80	CP065313.1_1809	504	1.3e-08	5	71	36	93	0.825
0042546	127	CP065313.1_1811	132	2.6e-14	1	111	17	127	0.866141732283
0043707	64	CP065313.1_1831	399	1.2e-05	3	48	25	71	0.703125
0038966	94	CP065313.1_1904	144	3.3e-05	30	74	82	126	0.468085106383
0038753	71	CP065313.1_1928	245	1.5e-17	2	70	160	229	0.957746478873
0040586	141	CP065313.1_200	393	2.2e-05	13	89	274	347	0.539007092199
0041150	134	CP065313.1_2012	153	7.2e-42	7	134	14	145	0.94776119403
0039939	63	CP065313.1_2045	394	4e-06	14	58	33	77	0.698412698413
0038966	94	CP065313.1_2066	96	1.1e-07	35	85	15	65	0.531914893617
0042156	125	CP065313.1_2077	315	1e-07	49	114	19	80	0.52
0043707	64	CP065313.1_2084	109	1e-07	4	53	11	61	0.765625
0042546	127	CP065313.1_2086	272	1.2e-19	2	114	3	109	0.88188976378
0040517	144	CP065313.1_2093	343	2.4e-05	39	109	21	87	0.486111111111
0040517	144	CP065313.1_2098	326	1.4e-05	35	112	12	85	0.534722222222
0043095	94	CP065313.1_2111	103	1.1e-20	4	83	7	86	0.840425531915
0039939	63	CP065313.1_2204	203	6.3e-05	18	50	148	180	0.507936507937
0043707	64	CP065313.1_2212	1364	4.3e-06	14	61	23	71	0.734375
0037767	80	CP065313.1_2256	222	3.6e-06	6	71	13	69	0.8125
0040266	151	CP065313.1_2268	323	3.6e-05	34	114	14	80	0.529801324503
0044258	100	CP065313.1_2323	402	1.5e-05	30	75	225	270	0.45
0045032	127	CP065313.1_24	268	1.1e-08	3	65	13	76	0.488188976378
0040266	151	CP065313.1_249	83	1.6e-05	32	89	6	74	0.377483443709
0040266	151	CP065313.1_2491	172	3.8e-07	42	111	100	154	0.456953642384
0044258	100	CP065313.1_2498	130	7.7e-20	2	95	13	106	0.93
0036286	54	CP065313.1_2524	249	1.5e-07	5	52	148	195	0.87037037037
0035607	54	CP065313.1_2524	249	9.3e-05	4	52	199	244	0.888888888889
0043707	64	CP065313.1_308	138	6.9e-12	3	61	11	72	0.90625
0037176	98	CP065313.1_336	482	4e-13	2	97	351	480	0.969387755102
0043707	64	CP065313.1_449	105	3e-08	11	61	17	68	0.78125
0040266	151	CP065313.1_632	173	1.1e-07	44	121	103	165	0.509933774834
0037456	76	CP065313.1_647	332	3.1e-06	6	46	15	55	0.526315789474
0035607	54	CP065313.1_656	333	1.8e-10	3	50	276	324	0.87037037037
0038753	71	CP065313.1_716	230	3.3e-09	3	69	148	217	0.929577464789
0042546	127	CP065313.1_73	162	3.1e-16	1	68	28	94	0.527559055118
0040517	144	CP065313.1_847	184	1.2e-27	4	139	27	164	0.9375
